seq_nota;cod_pdv;cod_caixa;cod_cliente;num_nota;dat_nota;flg_entrega;vlr_nota;vlr_dinheiro;vlr_tick;vlr_cartao
262;2;2;2;262;2013/10/28 00:00:00.000;N;944,0;0,0;0,0;0,0
263;2;3;4;263;2013/10/28 00:00:00.000;N;1101,5;0,0;0,0;0,0
264;1;1;2;264;2013/10/28 00:00:00.000;N;1567,5;0,0;0,0;0,0
265;2;2;1;265;2013/10/28 00:00:00.000;N;1478,2;0,0;0,0;0,0
266;2;3;1;266;2013/10/28 00:00:00.000;N;1100,42;0,0;0,0;0,0
267;2;3;3;267;2013/10/28 00:00:00.000;N;1723,29;0,0;0,0;0,0
268;1;3;2;268;2013/10/28 00:00:00.000;N;747,62;0,0;0,0;0,0
269;2;2;6;269;2013/10/28 00:00:00.000;N;898,0;0,0;0,0;0,0
270;3;2;1;270;2013/10/28 00:00:00.000;N;702,0;0,0;0,0;0,0
271;3;2;6;271;2013/10/28 00:00:00.000;N;1125,76;0,0;0,0;0,0
272;3;2;1;272;2013/10/28 00:00:00.000;N;1468,1;0,0;0,0;0,0
273;3;2;4;273;2013/10/28 00:00:00.000;N;940,0;0,0;0,0;0,0
274;1;2;4;274;2013/10/28 00:00:00.000;N;1032,84;0,0;0,0;0,0
275;1;3;2;275;2013/10/28 00:00:00.000;N;1171,0;0,0;0,0;0,0
276;3;3;5;276;2013/10/28 00:00:00.000;N;1144,34;0,0;0,0;0,0
277;3;2;3;277;2013/10/28 00:00:00.000;N;1223,7;0,0;0,0;0,0
278;3;2;3;278;2013/10/28 00:00:00.000;N;894,0;0,0;0,0;0,0
279;3;3;6;279;2013/10/28 00:00:00.000;N;1052,71;0,0;0,0;0,0
280;2;3;2;280;2013/10/28 00:00:00.000;N;1174,0;0,0;0,0;0,0
281;3;2;1;281;2013/10/28 00:00:00.000;N;655,44;0,0;0,0;0,0
282;3;2;1;282;2013/10/28 00:00:00.000;N;1450,0;0,0;0,0;0,0
283;2;3;4;283;2013/10/28 00:00:00.000;N;1571,18;0,0;0,0;0,0
284;3;3;5;284;2013/10/28 00:00:00.000;N;764,95;0,0;0,0;0,0
285;3;2;4;285;2013/10/28 00:00:00.000;N;990,47;0,0;0,0;0,0
286;2;3;2;286;2013/10/28 00:00:00.000;N;1397,0;0,0;0,0;0,0
287;3;1;1;287;2013/10/28 00:00:00.000;N;960,74;0,0;0,0;0,0
288;1;1;2;288;2013/10/28 00:00:00.000;N;864,7;0,0;0,0;0,0
289;1;3;5;289;2013/10/28 00:00:00.000;N;1055,51;0,0;0,0;0,0
290;2;2;1;290;2013/10/28 00:00:00.000;N;1084,97;0,0;0,0;0,0
291;2;1;2;291;2013/10/28 00:00:00.000;N;943,38;0,0;0,0;0,0
292;2;1;2;292;2013/10/28 00:00:00.000;N;1387,95;0,0;0,0;0,0
293;1;1;5;293;2013/10/28 00:00:00.000;N;823,4;0,0;0,0;0,0
294;2;1;5;294;2013/10/28 00:00:00.000;N;417,86;0,0;0,0;0,0
295;3;1;2;295;2013/10/28 00:00:00.000;N;1138,2;0,0;0,0;0,0
296;3;2;2;296;2013/10/28 00:00:00.000;N;1424,42;0,0;0,0;0,0
297;2;1;5;297;2013/10/28 00:00:00.000;N;1177,0;0,0;0,0;0,0
298;2;3;6;298;2013/10/28 00:00:00.000;N;619,0;0,0;0,0;0,0
299;1;1;4;299;2013/10/28 00:00:00.000;N;821,97;0,0;0,0;0,0
300;3;2;5;300;2013/10/28 00:00:00.000;N;854,69;0,0;0,0;0,0
301;3;2;6;301;2013/10/28 00:00:00.000;N;1537,82;0,0;0,0;0,0
302;3;2;5;302;2013/10/28 00:00:00.000;N;893,41;0,0;0,0;0,0
303;1;1;5;303;2013/10/28 00:00:00.000;N;1008,81;0,0;0,0;0,0
304;3;3;6;304;2013/10/28 00:00:00.000;N;566,84;0,0;0,0;0,0
305;3;3;5;305;2013/10/28 00:00:00.000;N;407,87;0,0;0,0;0,0
306;1;2;3;306;2013/10/28 00:00:00.000;N;1591,03;0,0;0,0;0,0
307;1;1;4;307;2013/10/28 00:00:00.000;N;1100,88;0,0;0,0;0,0
308;2;2;1;308;2013/07/20 00:00:00.000;N;926,4;0,0;0,0;0,0
309;2;2;2;309;2013/07/20 00:00:00.000;N;912,55;0,0;0,0;0,0
310;3;3;2;310;2013/07/20 00:00:00.000;N;1392,5;0,0;0,0;0,0
311;3;2;4;311;2013/07/20 00:00:00.000;N;520,69;0,0;0,0;0,0
312;1;1;2;312;2013/07/20 00:00:00.000;N;858,2;0,0;0,0;0,0
313;3;3;3;313;2013/07/20 00:00:00.000;N;1358,91;0,0;0,0;0,0
108;1;3;5;108;2013/04/11 00:00:00.000;N;793,6;0,0;0,0;0,0
109;1;3;5;109;2013/04/11 00:00:00.000;N;631,68;0,0;0,0;0,0
110;1;2;5;110;2013/04/11 00:00:00.000;N;409,8;0,0;0,0;0,0
111;1;1;5;111;2013/04/11 00:00:00.000;N;1203,7;0,0;0,0;0,0
112;2;1;5;112;2013/04/11 00:00:00.000;N;1227,8;0,0;0,0;0,0
113;1;3;1;113;2013/04/11 00:00:00.000;N;1636,2;0,0;0,0;0,0
114;2;2;1;114;2013/04/11 00:00:00.000;N;1251,19;0,0;0,0;0,0
115;3;3;1;115;2013/04/11 00:00:00.000;N;764,1;0,0;0,0;0,0
116;2;2;2;116;2013/04/11 00:00:00.000;N;1350,0;0,0;0,0;0,0
117;2;3;2;117;2013/04/11 00:00:00.000;N;818,8;0,0;0,0;0,0
118;3;1;4;118;2013/04/11 00:00:00.000;N;1393,78;0,0;0,0;0,0
119;2;3;4;119;2013/04/11 00:00:00.000;N;424,91;0,0;0,0;0,0
120;1;3;3;120;2013/04/11 00:00:00.000;N;299,0;0,0;0,0;0,0
121;1;3;4;121;2013/04/11 00:00:00.000;N;884,07;0,0;0,0;0,0
122;1;1;5;122;2013/04/11 00:00:00.000;N;678,96;0,0;0,0;0,0
123;2;3;6;123;2013/04/11 00:00:00.000;N;1236,22;0,0;0,0;0,0
124;1;1;1;124;2013/04/11 00:00:00.000;N;794,69;0,0;0,0;0,0
125;3;3;5;125;2013/04/11 00:00:00.000;N;959,8;0,0;0,0;0,0
126;2;3;1;126;2013/04/11 00:00:00.000;N;1482,86;0,0;0,0;0,0
127;1;3;5;127;2013/04/11 00:00:00.000;N;1457,1;0,0;0,0;0,0
128;1;3;1;128;2013/04/11 00:00:00.000;N;979,6;0,0;0,0;0,0
129;2;2;5;129;2013/04/11 00:00:00.000;N;1829,1;0,0;0,0;0,0
130;2;1;4;130;2013/04/11 00:00:00.000;N;1162,93;0,0;0,0;0,0
131;1;1;6;131;2013/04/11 00:00:00.000;N;582,89;0,0;0,0;0,0
132;2;3;2;132;2013/04/11 00:00:00.000;N;309,8;0,0;0,0;0,0
133;2;3;5;133;2013/04/11 00:00:00.000;N;846,8;0,0;0,0;0,0
134;1;2;3;134;2013/04/11 00:00:00.000;N;1460,01;0,0;0,0;0,0
135;3;1;3;135;2013/04/11 00:00:00.000;N;894,2;0,0;0,0;0,0
136;1;2;5;136;2013/04/11 00:00:00.000;N;785,77;0,0;0,0;0,0
137;2;2;4;137;2013/04/11 00:00:00.000;N;699,0;0,0;0,0;0,0
138;3;2;2;138;2013/04/11 00:00:00.000;N;922,95;0,0;0,0;0,0
139;2;1;3;139;2013/04/11 00:00:00.000;N;1183,2;0,0;0,0;0,0
140;1;2;5;140;2013/04/11 00:00:00.000;N;837,6;0,0;0,0;0,0
141;3;3;2;141;2013/04/11 00:00:00.000;N;1084,8;0,0;0,0;0,0
142;1;1;1;142;2013/04/11 00:00:00.000;N;1130,44;0,0;0,0;0,0
143;3;1;4;143;2013/04/11 00:00:00.000;N;1161,1;0,0;0,0;0,0
144;3;3;1;144;2013/04/11 00:00:00.000;N;538,61;0,0;0,0;0,0
145;3;3;2;145;2013/04/11 00:00:00.000;N;773,78;0,0;0,0;0,0
146;3;3;2;146;2013/04/11 00:00:00.000;N;1458,1;0,0;0,0;0,0
147;1;1;5;147;2013/04/11 00:00:00.000;N;831,99;0,0;0,0;0,0
148;3;2;2;148;2013/04/11 00:00:00.000;N;1017,12;0,0;0,0;0,0
149;3;1;1;149;2013/04/11 00:00:00.000;N;1533,6;0,0;0,0;0,0
150;2;2;5;150;2013/04/11 00:00:00.000;N;1986,38;0,0;0,0;0,0
151;1;3;2;151;2013/04/11 00:00:00.000;N;1229,0;0,0;0,0;0,0
152;2;3;1;152;2013/04/11 00:00:00.000;N;1216,6;0,0;0,0;0,0
153;1;1;4;153;2013/04/11 00:00:00.000;N;1713,6;0,0;0,0;0,0
154;1;1;5;154;2013/04/11 00:00:00.000;N;1265,84;0,0;0,0;0,0
155;2;1;5;155;2013/04/11 00:00:00.000;N;1137,3;0,0;0,0;0,0
156;3;1;2;156;2013/04/11 00:00:00.000;N;1250,49;0,0;0,0;0,0
157;2;2;5;157;2013/04/11 00:00:00.000;N;794,67;0,0;0,0;0,0
158;3;3;2;158;2013/04/11 00:00:00.000;N;634,77;0,0;0,0;0,0
159;1;2;3;159;2013/04/11 00:00:00.000;N;1706,2;0,0;0,0;0,0
160;3;1;1;160;2013/04/11 00:00:00.000;N;1272,73;0,0;0,0;0,0
161;2;2;1;161;2013/04/11 00:00:00.000;N;1638,0;0,0;0,0;0,0
162;1;3;1;162;2013/04/11 00:00:00.000;N;949,03;0,0;0,0;0,0
163;1;1;2;163;2013/04/11 00:00:00.000;N;1912,6;0,0;0,0;0,0
164;2;2;4;164;2013/04/11 00:00:00.000;N;1050,4;0,0;0,0;0,0
165;1;2;3;165;2013/04/11 00:00:00.000;N;750,0;0,0;0,0;0,0
166;1;1;2;166;2013/04/11 00:00:00.000;N;839,99;0,0;0,0;0,0
167;3;1;3;167;2013/04/11 00:00:00.000;N;277,92;0,0;0,0;0,0
168;1;2;4;168;2013/04/11 00:00:00.000;N;907,3;0,0;0,0;0,0
169;1;2;3;169;2013/04/11 00:00:00.000;N;1033,66;0,0;0,0;0,0
170;1;3;1;170;2013/04/11 00:00:00.000;N;644,0;0,0;0,0;0,0
171;2;3;6;171;2013/04/11 00:00:00.000;N;933,4;0,0;0,0;0,0
172;1;1;4;172;2013/04/11 00:00:00.000;N;1113,8;0,0;0,0;0,0
173;3;3;2;173;2013/04/11 00:00:00.000;N;686,83;0,0;0,0;0,0
174;1;2;4;174;2013/04/11 00:00:00.000;N;1705,16;0,0;0,0;0,0
175;2;2;1;175;2013/04/11 00:00:00.000;N;1839,4;0,0;0,0;0,0
176;1;1;1;176;2013/04/11 00:00:00.000;N;440,0;0,0;0,0;0,0
177;1;1;6;177;2013/04/11 00:00:00.000;N;1144,8;0,0;0,0;0,0
178;1;3;2;178;2013/04/11 00:00:00.000;N;769,4;0,0;0,0;0,0
179;3;2;2;179;2013/04/11 00:00:00.000;N;1000,3;0,0;0,0;0,0
180;1;2;5;180;2013/04/11 00:00:00.000;N;739,38;0,0;0,0;0,0
181;2;2;3;181;2013/04/11 00:00:00.000;N;1044,46;0,0;0,0;0,0
182;3;1;3;182;2013/04/11 00:00:00.000;N;1226,31;0,0;0,0;0,0
183;1;3;2;183;2013/04/11 00:00:00.000;N;1115,12;0,0;0,0;0,0
184;3;1;3;184;2013/04/11 00:00:00.000;N;796,2;0,0;0,0;0,0
185;1;2;3;185;2013/04/11 00:00:00.000;N;868,2;0,0;0,0;0,0
186;1;2;5;186;2013/04/11 00:00:00.000;N;1988,9;0,0;0,0;0,0
187;3;1;3;187;2013/04/11 00:00:00.000;N;505,52;0,0;0,0;0,0
188;2;1;1;188;2013/04/11 00:00:00.000;N;1052,5;0,0;0,0;0,0
189;2;1;1;189;2013/04/11 00:00:00.000;N;735,0;0,0;0,0;0,0
190;2;1;4;190;2013/04/11 00:00:00.000;N;942,6;0,0;0,0;0,0
191;3;1;1;191;2013/04/11 00:00:00.000;N;1874,91;0,0;0,0;0,0
192;2;2;2;192;2013/04/11 00:00:00.000;N;1073,89;0,0;0,0;0,0
193;2;2;3;193;2013/04/11 00:00:00.000;N;851,87;0,0;0,0;0,0
194;3;3;3;194;2013/04/11 00:00:00.000;N;1332,0;0,0;0,0;0,0
195;1;1;2;195;2013/04/11 00:00:00.000;N;1543,02;0,0;0,0;0,0
196;1;3;3;196;2013/04/11 00:00:00.000;N;1281,23;0,0;0,0;0,0
197;3;2;4;197;2013/04/11 00:00:00.000;N;807,6;0,0;0,0;0,0
198;1;2;2;198;2013/04/11 00:00:00.000;N;1319,46;0,0;0,0;0,0
199;2;3;6;199;2013/04/11 00:00:00.000;N;859,22;0,0;0,0;0,0
200;3;2;4;200;2013/04/11 00:00:00.000;N;678,14;0,0;0,0;0,0
201;2;1;6;201;2013/04/11 00:00:00.000;N;417,74;0,0;0,0;0,0
202;2;2;3;202;2013/04/11 00:00:00.000;N;743,01;0,0;0,0;0,0
203;2;1;6;203;2013/04/11 00:00:00.000;N;1173,1;0,0;0,0;0,0
204;2;2;6;204;2013/04/11 00:00:00.000;N;812,87;0,0;0,0;0,0
205;1;3;2;205;2013/04/11 00:00:00.000;N;946,2;0,0;0,0;0,0
206;1;2;1;206;2013/04/11 00:00:00.000;N;879,7;0,0;0,0;0,0
207;1;1;1;207;2013/04/11 00:00:00.000;N;501,88;0,0;0,0;0,0
314;1;1;3;314;2013/07/20 00:00:00.000;N;842,86;0,0;0,0;0,0
315;2;1;6;315;2013/07/20 00:00:00.000;N;850,44;0,0;0,0;0,0
316;3;2;5;316;2013/07/20 00:00:00.000;N;646,76;0,0;0,0;0,0
317;2;1;4;317;2013/07/20 00:00:00.000;N;1074,0;0,0;0,0;0,0
318;2;2;1;318;2013/07/20 00:00:00.000;N;575,86;0,0;0,0;0,0
319;2;3;3;319;2013/07/20 00:00:00.000;N;991,06;0,0;0,0;0,0
320;3;1;5;320;2013/07/20 00:00:00.000;N;1068,0;0,0;0,0;0,0
321;2;3;2;321;2013/07/20 00:00:00.000;N;613,2;0,0;0,0;0,0
322;3;1;1;322;2013/07/20 00:00:00.000;N;731,17;0,0;0,0;0,0
323;1;1;5;323;2013/07/20 00:00:00.000;N;489,83;0,0;0,0;0,0
324;2;3;1;324;2013/07/20 00:00:00.000;N;1272,4;0,0;0,0;0,0
325;1;3;3;325;2013/07/20 00:00:00.000;N;1419,77;0,0;0,0;0,0
326;2;2;3;326;2013/07/20 00:00:00.000;N;762,75;0,0;0,0;0,0
327;3;3;5;327;2013/07/20 00:00:00.000;N;1754,34;0,0;0,0;0,0
328;1;3;5;328;2013/07/20 00:00:00.000;N;660,87;0,0;0,0;0,0
329;1;2;3;329;2013/07/20 00:00:00.000;N;699,9;0,0;0,0;0,0
330;1;1;3;330;2013/07/20 00:00:00.000;N;482,52;0,0;0,0;0,0
331;1;1;1;331;2013/07/20 00:00:00.000;N;1455,16;0,0;0,0;0,0
332;3;1;5;332;2013/07/20 00:00:00.000;N;1556,4;0,0;0,0;0,0
333;2;2;4;333;2013/07/20 00:00:00.000;N;961,36;0,0;0,0;0,0
334;2;1;1;334;2013/07/20 00:00:00.000;N;1082,38;0,0;0,0;0,0
335;3;1;6;335;2013/07/20 00:00:00.000;N;285,7;0,0;0,0;0,0
336;3;1;6;336;2013/07/20 00:00:00.000;N;1737,86;0,0;0,0;0,0
337;2;1;3;337;2013/07/20 00:00:00.000;N;1494,0;0,0;0,0;0,0
338;3;2;2;338;2013/07/20 00:00:00.000;N;631,9;0,0;0,0;0,0
339;3;2;3;339;2013/07/20 00:00:00.000;N;776,7;0,0;0,0;0,0
340;1;1;2;340;2013/07/20 00:00:00.000;N;695,42;0,0;0,0;0,0
341;1;3;1;341;2013/07/20 00:00:00.000;N;1733,37;0,0;0,0;0,0
342;3;1;2;342;2013/07/20 00:00:00.000;N;1472,22;0,0;0,0;0,0
343;2;3;5;343;2013/07/20 00:00:00.000;N;1646,6;0,0;0,0;0,0
344;3;1;2;344;2013/07/20 00:00:00.000;N;1273,1;0,0;0,0;0,0
345;2;2;1;345;2013/07/20 00:00:00.000;N;1134,83;0,0;0,0;0,0
346;2;1;5;346;2013/07/20 00:00:00.000;N;1137,37;0,0;0,0;0,0
347;3;1;1;347;2013/07/20 00:00:00.000;N;709,1;0,0;0,0;0,0
348;1;1;3;348;2013/07/20 00:00:00.000;N;2125,66;0,0;0,0;0,0
349;1;3;3;349;2013/07/20 00:00:00.000;N;787,3;0,0;0,0;0,0
350;3;2;3;350;2013/07/20 00:00:00.000;N;887,0;0,0;0,0;0,0
351;1;1;1;351;2013/07/20 00:00:00.000;N;1107,52;0,0;0,0;0,0
352;3;3;4;352;2013/07/20 00:00:00.000;N;933,7;0,0;0,0;0,0
353;1;3;4;353;2013/07/20 00:00:00.000;N;1501,6;0,0;0,0;0,0
354;2;3;5;354;2013/07/20 00:00:00.000;N;1432,4;0,0;0,0;0,0
355;3;3;6;355;2013/07/20 00:00:00.000;N;1542,4;0,0;0,0;0,0
356;2;2;2;356;2013/07/20 00:00:00.000;N;947,69;0,0;0,0;0,0
357;1;2;5;357;2013/07/20 00:00:00.000;N;1339,2;0,0;0,0;0,0
358;2;3;2;358;2013/07/20 00:00:00.000;N;881,0;0,0;0,0;0,0
359;3;1;4;359;2013/07/20 00:00:00.000;N;1678,78;0,0;0,0;0,0
360;1;3;2;360;2013/07/20 00:00:00.000;N;1337,18;0,0;0,0;0,0
361;1;3;1;361;2013/07/20 00:00:00.000;N;1259,2;0,0;0,0;0,0
362;1;2;1;362;2013/07/20 00:00:00.000;N;833,92;0,0;0,0;0,0
363;1;2;6;363;2013/07/20 00:00:00.000;N;1184,96;0,0;0,0;0,0
364;1;2;3;364;2013/07/20 00:00:00.000;N;543,0;0,0;0,0;0,0
365;1;1;5;365;2013/07/20 00:00:00.000;N;1049,9;0,0;0,0;0,0
366;1;3;4;366;2013/07/20 00:00:00.000;N;1860,68;0,0;0,0;0,0
367;2;2;3;367;2013/07/20 00:00:00.000;N;953,9;0,0;0,0;0,0
368;2;1;6;368;2013/07/20 00:00:00.000;N;1321,92;0,0;0,0;0,0
369;3;2;6;369;2013/07/20 00:00:00.000;N;993,92;0,0;0,0;0,0
370;3;1;3;370;2013/07/20 00:00:00.000;N;1226,79;0,0;0,0;0,0
371;3;2;6;371;2013/07/20 00:00:00.000;N;570,79;0,0;0,0;0,0
372;1;1;5;372;2013/07/20 00:00:00.000;N;944,1;0,0;0,0;0,0
373;2;1;2;373;2013/07/20 00:00:00.000;N;733,1;0,0;0,0;0,0
374;2;2;3;374;2013/07/20 00:00:00.000;N;1019,2;0,0;0,0;0,0
375;2;1;2;375;2013/07/20 00:00:00.000;N;738,7;0,0;0,0;0,0
376;2;2;4;376;2013/07/20 00:00:00.000;N;906,17;0,0;0,0;0,0
377;3;3;1;377;2013/07/20 00:00:00.000;N;788,4;0,0;0,0;0,0
378;1;3;1;378;2013/07/20 00:00:00.000;N;713,0;0,0;0,0;0,0
379;1;1;5;379;2013/07/20 00:00:00.000;N;729,6;0,0;0,0;0,0
380;1;1;3;380;2013/07/20 00:00:00.000;N;1088,76;0,0;0,0;0,0
381;3;1;5;381;2013/07/20 00:00:00.000;N;872,39;0,0;0,0;0,0
382;3;2;5;382;2013/07/20 00:00:00.000;N;966,68;0,0;0,0;0,0
383;2;2;2;383;2013/07/20 00:00:00.000;N;1044,9;0,0;0,0;0,0
384;2;1;1;384;2013/07/20 00:00:00.000;N;905,0;0,0;0,0;0,0
385;1;2;4;385;2013/07/20 00:00:00.000;N;755,39;0,0;0,0;0,0
386;3;2;5;386;2013/07/20 00:00:00.000;N;1223,3;0,0;0,0;0,0
387;2;1;2;387;2013/07/20 00:00:00.000;N;675,28;0,0;0,0;0,0
388;1;1;1;388;2013/07/20 00:00:00.000;N;1473,92;0,0;0,0;0,0
389;3;3;3;389;2013/07/20 00:00:00.000;N;992,2;0,0;0,0;0,0
390;1;3;3;390;2013/07/20 00:00:00.000;N;1195,0;0,0;0,0;0,0
391;2;2;3;391;2013/07/20 00:00:00.000;N;610,53;0,0;0,0;0,0
392;3;2;4;392;2013/07/20 00:00:00.000;N;697,93;0,0;0,0;0,0
393;2;1;2;393;2013/07/20 00:00:00.000;N;377,8;0,0;0,0;0,0
394;2;2;1;394;2013/07/20 00:00:00.000;N;1082,91;0,0;0,0;0,0
395;2;1;3;395;2013/07/20 00:00:00.000;N;1042,0;0,0;0,0;0,0
396;1;3;1;396;2013/07/20 00:00:00.000;N;1620,8;0,0;0,0;0,0
397;3;1;2;397;2013/07/20 00:00:00.000;N;1016,1;0,0;0,0;0,0
398;3;1;3;398;2013/07/20 00:00:00.000;N;745,88;0,0;0,0;0,0
399;3;1;2;399;2013/07/20 00:00:00.000;N;774,5;0,0;0,0;0,0
400;3;2;2;400;2013/07/20 00:00:00.000;N;546,0;0,0;0,0;0,0
401;2;3;6;401;2013/07/20 00:00:00.000;N;1965,9;0,0;0,0;0,0
402;1;1;6;402;2013/07/20 00:00:00.000;N;1547,23;0,0;0,0;0,0
403;1;3;5;403;2013/07/20 00:00:00.000;N;1133,9;0,0;0,0;0,0
404;3;1;4;404;2013/07/20 00:00:00.000;N;684,0;0,0;0,0;0,0
405;3;2;1;405;2013/07/20 00:00:00.000;N;909,9;0,0;0,0;0,0
406;3;1;3;406;2013/07/20 00:00:00.000;N;651,4;0,0;0,0;0,0
407;2;2;2;407;2013/07/20 00:00:00.000;N;730,0;0,0;0,0;0,0
408;2;3;3;408;2013/02/25 00:00:00.000;N;1096,9;0,0;0,0;0,0
409;2;3;1;409;2013/02/25 00:00:00.000;N;2067,9;0,0;0,0;0,0
410;2;1;6;410;2013/02/25 00:00:00.000;N;1178,8;0,0;0,0;0,0
411;2;2;4;411;2013/02/25 00:00:00.000;N;1304,0;0,0;0,0;0,0
412;3;2;1;412;2013/02/25 00:00:00.000;N;1326,8;0,0;0,0;0,0
413;2;3;4;413;2013/02/25 00:00:00.000;N;1161,6;0,0;0,0;0,0
414;1;1;3;414;2013/02/25 00:00:00.000;N;1087,7;0,0;0,0;0,0
415;3;1;3;415;2013/02/25 00:00:00.000;N;569,8;0,0;0,0;0,0
416;1;2;4;416;2013/02/25 00:00:00.000;N;1591,71;0,0;0,0;0,0
417;1;2;1;417;2013/02/25 00:00:00.000;N;905,18;0,0;0,0;0,0
418;3;1;3;418;2013/02/25 00:00:00.000;N;1509,87;0,0;0,0;0,0
419;3;1;6;419;2013/02/25 00:00:00.000;N;1698,83;0,0;0,0;0,0
